"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2022","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEESE","CHEESE, NATURAL, (EXCL AMERICAN & SWISS), COLD STORAGE, CHILLED - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","621,150,000",""
"SURVEY","2022","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEESE","CHEESE, NATURAL, AMERICAN, COLD STORAGE, CHILLED - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","835,747,000",""
"SURVEY","2022","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEESE","CHEESE, NATURAL, COLD STORAGE, CHILLED - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,480,872,000",""
"SURVEY","2022","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEESE","CHEESE, NATURAL, SWISS, COLD STORAGE, CHILLED - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","23,975,000",""
"SURVEY","2022","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEESE","CHEESE, NATURAL, (EXCL AMERICAN & SWISS), COLD STORAGE, CHILLED - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","618,815,000",""
"SURVEY","2022","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEESE","CHEESE, NATURAL, AMERICAN, COLD STORAGE, CHILLED - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","841,536,000",""
"SURVEY","2022","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEESE","CHEESE, NATURAL, COLD STORAGE, CHILLED - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,481,491,000",""
"SURVEY","2022","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEESE","CHEESE, NATURAL, SWISS, COLD STORAGE, CHILLED - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","21,140,000",""
"SURVEY","2022","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEESE","CHEESE, NATURAL, (EXCL AMERICAN & SWISS), COLD STORAGE, CHILLED - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","610,581,000",""
"SURVEY","2022","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEESE","CHEESE, NATURAL, AMERICAN, COLD STORAGE, CHILLED - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","831,198,000",""
