group,category,"report begin date","report end date","published date","market location name","market location city","market location state",commodity,"market type","market type category","slug id","slug name","report title","final ind",community,region,"sale Type",application,freight,quality,grade,"other Grades","price Unit","lot Desc",organic,origin,package,"volume Unit","price min","price max","mostly low price","mostly high price","report narrative","commodity narrative","secondary source info",methodology
Gorgonzola,"Hard Products",12/27/2021,12/27/2021,"12/29/2021 09:55:03",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Domestic,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",2.685,3.4025,,,N/A,"As 2021 nears the end, Western European cheese manufacturers are pleased with the staying power of what they classify as near record cheese prices. While pleased, manufacturers are also exhausted by the stress of fielding customer orders they cannot fill, as well as by many customer calls cutting or delaying shipments. The firmness of cheese markets now is considered far greater than the end of recent previous years. Almost all scheduled January 2022 cheese production is already sold. While the pace of activity this last holiday week of the year is typically slower, the stress of unmet demand is expected to resume next week.

United States domestic cheese prices decreased $.0575 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 27 - 31, 2021, issued weekly"
Gorgonzola,"Hard Products",12/27/2021,12/27/2021,"12/29/2021 09:55:03",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Import,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",3.69,5.74,,,N/A,"As 2021 nears the end, Western European cheese manufacturers are pleased with the staying power of what they classify as near record cheese prices. While pleased, manufacturers are also exhausted by the stress of fielding customer orders they cannot fill, as well as by many customer calls cutting or delaying shipments. The firmness of cheese markets now is considered far greater than the end of recent previous years. Almost all scheduled January 2022 cheese production is already sold. While the pace of activity this last holiday week of the year is typically slower, the stress of unmet demand is expected to resume next week.

United States domestic cheese prices decreased $.0575 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 27 - 31, 2021, issued weekly"
Parmesan,"Hard Products",12/27/2021,12/27/2021,"12/29/2021 09:55:03",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Domestic,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",3.565,5.655,,,N/A,"As 2021 nears the end, Western European cheese manufacturers are pleased with the staying power of what they classify as near record cheese prices. While pleased, manufacturers are also exhausted by the stress of fielding customer orders they cannot fill, as well as by many customer calls cutting or delaying shipments. The firmness of cheese markets now is considered far greater than the end of recent previous years. Almost all scheduled January 2022 cheese production is already sold. While the pace of activity this last holiday week of the year is typically slower, the stress of unmet demand is expected to resume next week.

United States domestic cheese prices decreased $.0575 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 27 - 31, 2021, issued weekly"
Romano,"Hard Products",12/27/2021,12/27/2021,"12/29/2021 09:55:03",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Domestic,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",3.3675,5.5225,,,N/A,"As 2021 nears the end, Western European cheese manufacturers are pleased with the staying power of what they classify as near record cheese prices. While pleased, manufacturers are also exhausted by the stress of fielding customer orders they cannot fill, as well as by many customer calls cutting or delaying shipments. The firmness of cheese markets now is considered far greater than the end of recent previous years. Almost all scheduled January 2022 cheese production is already sold. While the pace of activity this last holiday week of the year is typically slower, the stress of unmet demand is expected to resume next week.

United States domestic cheese prices decreased $.0575 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 27 - 31, 2021, issued weekly"
Swiss,"Hard Products",12/27/2021,12/27/2021,"12/29/2021 09:55:03",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Domestic,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",3.345,3.67,,,N/A,"As 2021 nears the end, Western European cheese manufacturers are pleased with the staying power of what they classify as near record cheese prices. While pleased, manufacturers are also exhausted by the stress of fielding customer orders they cannot fill, as well as by many customer calls cutting or delaying shipments. The firmness of cheese markets now is considered far greater than the end of recent previous years. Almost all scheduled January 2022 cheese production is already sold. While the pace of activity this last holiday week of the year is typically slower, the stress of unmet demand is expected to resume next week.

United States domestic cheese prices decreased $.0575 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 27 - 31, 2021, issued weekly"
Reggianito,"Hard Products",12/27/2021,12/27/2021,"12/29/2021 09:55:03",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Import,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,Argentina,N/A,"Mixed Lots (1000-5000 pounds)",3.29,4.78,,,N/A,"As 2021 nears the end, Western European cheese manufacturers are pleased with the staying power of what they classify as near record cheese prices. While pleased, manufacturers are also exhausted by the stress of fielding customer orders they cannot fill, as well as by many customer calls cutting or delaying shipments. The firmness of cheese markets now is considered far greater than the end of recent previous years. Almost all scheduled January 2022 cheese production is already sold. While the pace of activity this last holiday week of the year is typically slower, the stress of unmet demand is expected to resume next week.

United States domestic cheese prices decreased $.0575 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 27 - 31, 2021, issued weekly"
"Sardo Romano","Hard Products",12/27/2021,12/27/2021,"12/29/2021 09:55:03",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Import,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,Argentina,N/A,"Mixed Lots (1000-5000 pounds)",2.85,4.78,,,N/A,"As 2021 nears the end, Western European cheese manufacturers are pleased with the staying power of what they classify as near record cheese prices. While pleased, manufacturers are also exhausted by the stress of fielding customer orders they cannot fill, as well as by many customer calls cutting or delaying shipments. The firmness of cheese markets now is considered far greater than the end of recent previous years. Almost all scheduled January 2022 cheese production is already sold. While the pace of activity this last holiday week of the year is typically slower, the stress of unmet demand is expected to resume next week.

United States domestic cheese prices decreased $.0575 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 27 - 31, 2021, issued weekly"
Swiss,"Hard Products",12/27/2021,12/27/2021,"12/29/2021 09:55:03",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Import,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,Finland,N/A,"Mixed Lots (1000-5000 pounds)",2.67,2.93,,,N/A,"As 2021 nears the end, Western European cheese manufacturers are pleased with the staying power of what they classify as near record cheese prices. While pleased, manufacturers are also exhausted by the stress of fielding customer orders they cannot fill, as well as by many customer calls cutting or delaying shipments. The firmness of cheese markets now is considered far greater than the end of recent previous years. Almost all scheduled January 2022 cheese production is already sold. While the pace of activity this last holiday week of the year is typically slower, the stress of unmet demand is expected to resume next week.

United States domestic cheese prices decreased $.0575 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 27 - 31, 2021, issued weekly"
Blue,"Hard Products",12/27/2021,12/27/2021,"12/29/2021 09:55:03",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Domestic,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",2.1775,3.665,,,N/A,"As 2021 nears the end, Western European cheese manufacturers are pleased with the staying power of what they classify as near record cheese prices. While pleased, manufacturers are also exhausted by the stress of fielding customer orders they cannot fill, as well as by many customer calls cutting or delaying shipments. The firmness of cheese markets now is considered far greater than the end of recent previous years. Almost all scheduled January 2022 cheese production is already sold. While the pace of activity this last holiday week of the year is typically slower, the stress of unmet demand is expected to resume next week.

United States domestic cheese prices decreased $.0575 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 27 - 31, 2021, issued weekly"
Blue,"Hard Products",12/27/2021,12/27/2021,"12/29/2021 09:55:03",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Import,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",2.64,5.23,,,N/A,"As 2021 nears the end, Western European cheese manufacturers are pleased with the staying power of what they classify as near record cheese prices. While pleased, manufacturers are also exhausted by the stress of fielding customer orders they cannot fill, as well as by many customer calls cutting or delaying shipments. The firmness of cheese markets now is considered far greater than the end of recent previous years. Almost all scheduled January 2022 cheese production is already sold. While the pace of activity this last holiday week of the year is typically slower, the stress of unmet demand is expected to resume next week.

United States domestic cheese prices decreased $.0575 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 27 - 31, 2021, issued weekly"
Reggianito,"Hard Products",12/20/2021,12/20/2021,"12/22/2021 09:55:04",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Import,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,Argentina,N/A,"Mixed Lots (1000-5000 pounds)",3.29,4.78,,,N/A,"The Western European cheese situation is described as an insufficient supply, lower than demand. Orders on the books have experienced cuts in shipments. Manufacturers are sometimes forced to make tough decisions allocating available stocks, even sometimes shorting long term good customers. Retail customers as well as food service destinations are jockeying for restocking priority. With constrained cheese production reflecting tight milk supplies, as well as low existing stocks, this situation is expected to continue for a while. Projections for 2022 are for slightly more cheese production.

United States domestic cheese prices decreased $.0750 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 20 - 24, 2021, issued weekly"
"Sardo Romano","Hard Products",12/20/2021,12/20/2021,"12/22/2021 09:55:04",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Import,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,Argentina,N/A,"Mixed Lots (1000-5000 pounds)",2.85,4.78,,,N/A,"The Western European cheese situation is described as an insufficient supply, lower than demand. Orders on the books have experienced cuts in shipments. Manufacturers are sometimes forced to make tough decisions allocating available stocks, even sometimes shorting long term good customers. Retail customers as well as food service destinations are jockeying for restocking priority. With constrained cheese production reflecting tight milk supplies, as well as low existing stocks, this situation is expected to continue for a while. Projections for 2022 are for slightly more cheese production.

United States domestic cheese prices decreased $.0750 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 20 - 24, 2021, issued weekly"
Swiss,"Hard Products",12/20/2021,12/20/2021,"12/22/2021 09:55:04",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Import,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,Finland,N/A,"Mixed Lots (1000-5000 pounds)",2.67,2.93,,,N/A,"The Western European cheese situation is described as an insufficient supply, lower than demand. Orders on the books have experienced cuts in shipments. Manufacturers are sometimes forced to make tough decisions allocating available stocks, even sometimes shorting long term good customers. Retail customers as well as food service destinations are jockeying for restocking priority. With constrained cheese production reflecting tight milk supplies, as well as low existing stocks, this situation is expected to continue for a while. Projections for 2022 are for slightly more cheese production.

United States domestic cheese prices decreased $.0750 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 20 - 24, 2021, issued weekly"
Blue,"Hard Products",12/20/2021,12/20/2021,"12/22/2021 09:55:04",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Domestic,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",2.235,3.7225,,,N/A,"The Western European cheese situation is described as an insufficient supply, lower than demand. Orders on the books have experienced cuts in shipments. Manufacturers are sometimes forced to make tough decisions allocating available stocks, even sometimes shorting long term good customers. Retail customers as well as food service destinations are jockeying for restocking priority. With constrained cheese production reflecting tight milk supplies, as well as low existing stocks, this situation is expected to continue for a while. Projections for 2022 are for slightly more cheese production.

United States domestic cheese prices decreased $.0750 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 20 - 24, 2021, issued weekly"
Blue,"Hard Products",12/20/2021,12/20/2021,"12/22/2021 09:55:04",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Import,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",2.64,5.23,,,N/A,"The Western European cheese situation is described as an insufficient supply, lower than demand. Orders on the books have experienced cuts in shipments. Manufacturers are sometimes forced to make tough decisions allocating available stocks, even sometimes shorting long term good customers. Retail customers as well as food service destinations are jockeying for restocking priority. With constrained cheese production reflecting tight milk supplies, as well as low existing stocks, this situation is expected to continue for a while. Projections for 2022 are for slightly more cheese production.

United States domestic cheese prices decreased $.0750 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 20 - 24, 2021, issued weekly"
Gorgonzola,"Hard Products",12/20/2021,12/20/2021,"12/22/2021 09:55:04",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1092,MD_DA811,"Cheese - Foreign Type",Final,Dairy,"New York",Wholesale,Domestic,"Free on Board - Distributor's Dock",N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",2.7425,3.46,,,N/A,"The Western European cheese situation is described as an insufficient supply, lower than demand. Orders on the books have experienced cuts in shipments. Manufacturers are sometimes forced to make tough decisions allocating available stocks, even sometimes shorting long term good customers. Retail customers as well as food service destinations are jockeying for restocking priority. With constrained cheese production reflecting tight milk supplies, as well as low existing stocks, this situation is expected to continue for a while. Projections for 2022 are for slightly more cheese production.

United States domestic cheese prices decreased $.0750 for blue, gorgonzola, parmesan and romano. All other prices are steady.",N/A,"Information for the period December 20 - 24, 2021, issued weekly"
