group,category,"report begin date","report end date","published date","market location name","market location city","market location state",commodity,"market type","market type category","slug id","slug name","report title","final ind",community,region,"sale Type",application,freight,quality,grade,"other Grades","price Unit","lot Desc",organic,origin,package,"volume Unit","price min","price max","mostly low price","mostly high price","report narrative","commodity narrative","secondary source info",methodology
Cheddar,"Hard Products",10/31/2022,10/31/2022,"11/02/2022 09:55:02",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1084,MD_DA810,"Cheese - Northeastern U.S.",Final,Dairy,Northeast,Wholesale,N/A,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"40 pound Block","Mixed Lots (1000-5000 pounds)",2.465,2.7525,,,N/A,"Cheesemakers say milk is available in the Northeast, allowing for steady production. Staffing shortages and supply chain delays are causing some plant managers to run below capacity. Spot purchasers say loads of cheese are available. Demand for cheese is steady to lower in food service markets. Contacts report inflationary pressures are contributing to a decrease in retail cheese sales. Prices for cheese have declined in domestic markets. Export cheese demand is steady. Since last Tuesday, the price for cheese blocks have fallen on the CME by 8 cents. Some stakeholders say domestic loads of cheese are now being sold at a discount to loads produced internationally, and this may contribute to increased export demand in the coming weeks. 

In the Northeast, wholesale cheese prices for both cheddar and Muenster are down $0.0500, and process cheese prices are down $0.1825. Grade A Swiss prices are unchanged this week.",N/A,"Information for the period October 31 -  November 4, 2022, issued weekly"
Muenster,"Hard Products",10/31/2022,10/31/2022,"11/02/2022 09:55:02",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1084,MD_DA810,"Cheese - Northeastern U.S.",Final,Dairy,Northeast,Wholesale,N/A,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",2.4525,2.8025,,,N/A,"Cheesemakers say milk is available in the Northeast, allowing for steady production. Staffing shortages and supply chain delays are causing some plant managers to run below capacity. Spot purchasers say loads of cheese are available. Demand for cheese is steady to lower in food service markets. Contacts report inflationary pressures are contributing to a decrease in retail cheese sales. Prices for cheese have declined in domestic markets. Export cheese demand is steady. Since last Tuesday, the price for cheese blocks have fallen on the CME by 8 cents. Some stakeholders say domestic loads of cheese are now being sold at a discount to loads produced internationally, and this may contribute to increased export demand in the coming weeks. 

In the Northeast, wholesale cheese prices for both cheddar and Muenster are down $0.0500, and process cheese prices are down $0.1825. Grade A Swiss prices are unchanged this week.",N/A,"Information for the period October 31 -  November 4, 2022, issued weekly"
"Process American","Hard Products",10/31/2022,10/31/2022,"11/02/2022 09:55:02",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1084,MD_DA810,"Cheese - Northeastern U.S.",Final,Dairy,Northeast,Wholesale,N/A,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"5 pound Sliced","Mixed Lots (1000-5000 pounds)",2.075,2.555,,,N/A,"Cheesemakers say milk is available in the Northeast, allowing for steady production. Staffing shortages and supply chain delays are causing some plant managers to run below capacity. Spot purchasers say loads of cheese are available. Demand for cheese is steady to lower in food service markets. Contacts report inflationary pressures are contributing to a decrease in retail cheese sales. Prices for cheese have declined in domestic markets. Export cheese demand is steady. Since last Tuesday, the price for cheese blocks have fallen on the CME by 8 cents. Some stakeholders say domestic loads of cheese are now being sold at a discount to loads produced internationally, and this may contribute to increased export demand in the coming weeks. 

In the Northeast, wholesale cheese prices for both cheddar and Muenster are down $0.0500, and process cheese prices are down $0.1825. Grade A Swiss prices are unchanged this week.",N/A,"Information for the period October 31 -  November 4, 2022, issued weekly"
Swiss,"Hard Products",10/31/2022,10/31/2022,"11/02/2022 09:55:02",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1084,MD_DA810,"Cheese - Northeastern U.S.",Final,Dairy,Northeast,Wholesale,N/A,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"10-14 pound Cuts","Mixed Lots (1000-5000 pounds)",3.99,6.3125,,,N/A,"Cheesemakers say milk is available in the Northeast, allowing for steady production. Staffing shortages and supply chain delays are causing some plant managers to run below capacity. Spot purchasers say loads of cheese are available. Demand for cheese is steady to lower in food service markets. Contacts report inflationary pressures are contributing to a decrease in retail cheese sales. Prices for cheese have declined in domestic markets. Export cheese demand is steady. Since last Tuesday, the price for cheese blocks have fallen on the CME by 8 cents. Some stakeholders say domestic loads of cheese are now being sold at a discount to loads produced internationally, and this may contribute to increased export demand in the coming weeks. 

In the Northeast, wholesale cheese prices for both cheddar and Muenster are down $0.0500, and process cheese prices are down $0.1825. Grade A Swiss prices are unchanged this week.",N/A,"Information for the period October 31 -  November 4, 2022, issued weekly"
Cheddar,"Hard Products",10/24/2022,10/24/2022,"10/26/2022 09:55:02",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1084,MD_DA810,"Cheese - Northeastern U.S.",Final,Dairy,Northeast,Wholesale,N/A,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"40 pound Block","Mixed Lots (1000-5000 pounds)",2.515,2.8025,,,N/A,"In the Northeast, cheesemakers say milk is available for steady production. Some plant managers say scheduled maintenance, staffing shortages, and supply chain delays are causing them to run below capacity. Food service cheese demand is steady. Stakeholders say inflationary pressures are causing some grocery store customers to change their cheese purchasing habits. Contacts report international prices for cheese are declining, and some are concerned that these lower prices will have an impact on export demand in the coming months. Spot loads of cheese are available for purchasing.

In the Northeast, wholesale cheese prices for both cheddar and Muenster are up $0.0075, but process cheese prices are down $0.0200. Grade A Swiss prices are unchanged this week.",N/A,"Information for the period October 24 - 28, 2022, issued weekly"
Muenster,"Hard Products",10/24/2022,10/24/2022,"10/26/2022 09:55:02",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1084,MD_DA810,"Cheese - Northeastern U.S.",Final,Dairy,Northeast,Wholesale,N/A,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",2.5025,2.8525,,,N/A,"In the Northeast, cheesemakers say milk is available for steady production. Some plant managers say scheduled maintenance, staffing shortages, and supply chain delays are causing them to run below capacity. Food service cheese demand is steady. Stakeholders say inflationary pressures are causing some grocery store customers to change their cheese purchasing habits. Contacts report international prices for cheese are declining, and some are concerned that these lower prices will have an impact on export demand in the coming months. Spot loads of cheese are available for purchasing.

In the Northeast, wholesale cheese prices for both cheddar and Muenster are up $0.0075, but process cheese prices are down $0.0200. Grade A Swiss prices are unchanged this week.",N/A,"Information for the period October 24 - 28, 2022, issued weekly"
"Process American","Hard Products",10/24/2022,10/24/2022,"10/26/2022 09:55:02",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1084,MD_DA810,"Cheese - Northeastern U.S.",Final,Dairy,Northeast,Wholesale,N/A,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"5 pound Sliced","Mixed Lots (1000-5000 pounds)",2.2575,2.7375,,,N/A,"In the Northeast, cheesemakers say milk is available for steady production. Some plant managers say scheduled maintenance, staffing shortages, and supply chain delays are causing them to run below capacity. Food service cheese demand is steady. Stakeholders say inflationary pressures are causing some grocery store customers to change their cheese purchasing habits. Contacts report international prices for cheese are declining, and some are concerned that these lower prices will have an impact on export demand in the coming months. Spot loads of cheese are available for purchasing.

In the Northeast, wholesale cheese prices for both cheddar and Muenster are up $0.0075, but process cheese prices are down $0.0200. Grade A Swiss prices are unchanged this week.",N/A,"Information for the period October 24 - 28, 2022, issued weekly"
Swiss,"Hard Products",10/24/2022,10/24/2022,"10/26/2022 09:55:02",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1084,MD_DA810,"Cheese - Northeastern U.S.",Final,Dairy,Northeast,Wholesale,N/A,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"10-14 pound Cuts","Mixed Lots (1000-5000 pounds)",3.99,6.3125,,,N/A,"In the Northeast, cheesemakers say milk is available for steady production. Some plant managers say scheduled maintenance, staffing shortages, and supply chain delays are causing them to run below capacity. Food service cheese demand is steady. Stakeholders say inflationary pressures are causing some grocery store customers to change their cheese purchasing habits. Contacts report international prices for cheese are declining, and some are concerned that these lower prices will have an impact on export demand in the coming months. Spot loads of cheese are available for purchasing.

In the Northeast, wholesale cheese prices for both cheddar and Muenster are up $0.0075, but process cheese prices are down $0.0200. Grade A Swiss prices are unchanged this week.",N/A,"Information for the period October 24 - 28, 2022, issued weekly"
Cheddar,"Hard Products",10/17/2022,10/17/2022,"10/19/2022 09:55:02",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1084,MD_DA810,"Cheese - Northeastern U.S.",Final,Dairy,Northeast,Wholesale,N/A,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"40 pound Block","Mixed Lots (1000-5000 pounds)",2.5075,2.795,,,N/A,"Milk is available for cheese production in the Northeast. Cheesemakers say they are running steady production schedules, though some plant managers report down time due to scheduled maintenance this week. Some production facilities are operating below capacity due to staffing shortages and supply chain delays. Spot loads of cheese are available for purchasing. Demand for cheese is steady in food service markets but is softening at retail. Some regional grocery store shoppers are, reportedly, buying smaller cheese packages due to inflationary pressures. Food service demand is steady. International purchasing is strong, though some stakeholders say they are concerned that a recent drop in cheese prices on some international cheese exchange platforms may contribute to a decline in export sales.

In the Northeast, wholesale cheese prices for both cheddar and Muenster are up $0.0300, but process cheese prices are down $0.0450. Grade A Swiss prices are unchanged this week.",N/A,"Information for the period October 17 - 21, 2022, issued weekly"
Muenster,"Hard Products",10/17/2022,10/17/2022,"10/19/2022 09:55:02",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1084,MD_DA810,"Cheese - Northeastern U.S.",Final,Dairy,Northeast,Wholesale,N/A,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,N/A,"Mixed Lots (1000-5000 pounds)",2.495,2.845,,,N/A,"Milk is available for cheese production in the Northeast. Cheesemakers say they are running steady production schedules, though some plant managers report down time due to scheduled maintenance this week. Some production facilities are operating below capacity due to staffing shortages and supply chain delays. Spot loads of cheese are available for purchasing. Demand for cheese is steady in food service markets but is softening at retail. Some regional grocery store shoppers are, reportedly, buying smaller cheese packages due to inflationary pressures. Food service demand is steady. International purchasing is strong, though some stakeholders say they are concerned that a recent drop in cheese prices on some international cheese exchange platforms may contribute to a decline in export sales.

In the Northeast, wholesale cheese prices for both cheddar and Muenster are up $0.0300, but process cheese prices are down $0.0450. Grade A Swiss prices are unchanged this week.",N/A,"Information for the period October 17 - 21, 2022, issued weekly"
