group,category,"report begin date","report end date","published date","market location name","market location city","market location state",commodity,"market type","market type category","slug id","slug name","report title","final ind",community,region,"sale Type",application,freight,quality,grade,"other Grades","price Unit","lot Desc",organic,origin,package,"volume Unit","price min","price max","mostly low price","mostly high price","report narrative","commodity narrative","secondary source info",methodology
Cheddar,"Hard Products",12/28/2020,12/28/2020,"12/30/2020 10:00:00",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1085,MD_DA840,"Cheese - Western U.S.",Final,Dairy,West,Wholesale,Domestic,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"10 pound Cuts","Mixed Lots (1000-5000 pounds)",1.9525,2.1525,,,N/A,"Ample milk flows are keeping Western cheese facilities busy. Most western cheese makers are running their cheese plants at capacity. Customers are taking regular shipments but predicting demand has been a moving target throughout the year. Purchase tendencies are somewhat erratic. Retail demand is steady and strong and food service demand has been weak. But there are exceptions to that rule. Sales of snack items that would go into bag lunches are weaker than the rest of retail items. Pizza cheese and process cheese for fast food burgers are stronger than the rest of food service items. Cheese inventories are balanced to long. 


WESTERN WHOLESALE PRICE ADJUSTMENTS
In the West, wholesale prices are up $.0775 for process, but down $.0150 for cheddar block, cuts and Monterey Jack. Swiss cut wholesale prices are unchanged from the previous week.","COLD STORAGE – CHEESE SUMMARY 
Released December 22, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA).

                                                                 11/30/20
                 Stocks in all Warehouses (1,000 pounds)     as a percent of
Natural Cheese           11/30/19      10/31/20     11/30/20   11/30/19   10/31/20
Total natural cheese    1,322,482     1,341,428    1,344,821     102        100
                         
American, total           740,367       756,168      760,173     103        101
New England                70,485        69,404       69,527      99        100
Middle Atlantic            78,800        66,040       67,282      85        102
East North Central        313,077       309,447      308,595      99        100
West North Central        105,292       128,530      127,557     121         99
South Atlantic                184            90           87      47         97
East South Central          9,510         7,667        6,641      70         87
West South Central          2,978         6,298        5,986     201         95
Mountain                   49,291        50,222       52,069     106        104
Pacific                   110,750       118,470      122,429     111        103
                         
Swiss, total               24,540        20,149       20,148      82        100
                         
Other, total              557,575       565,111      564,500     101        100
New England                 1,074         1,019        1,208     112        119
Middle Atlantic            16,078        24,398       23,172     144         95
East North Central        350,077       349,904      346,657      99         99
West North Central         50,574        48,074       53,358     106        111
South Atlantic             39,278        32,555       29,666      76         91
East South Central         35,658        32,146       34,376      96        107
West South Central          2,581         7,364        6,457     250         88
Mountain                    3,189         3,683        3,686     116        100
Pacific                    59,066        65,968       65,920     112        100","Information for the period December 28, 2020 -  January 1, 2021, issued weekly"
Cheddar,"Hard Products",12/28/2020,12/28/2020,"12/30/2020 10:00:00",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1085,MD_DA840,"Cheese - Western U.S.",Final,Dairy,West,Wholesale,Domestic,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"40 pound Block","Mixed Lots (1000-5000 pounds)",1.705,2.195,,,N/A,"Ample milk flows are keeping Western cheese facilities busy. Most western cheese makers are running their cheese plants at capacity. Customers are taking regular shipments but predicting demand has been a moving target throughout the year. Purchase tendencies are somewhat erratic. Retail demand is steady and strong and food service demand has been weak. But there are exceptions to that rule. Sales of snack items that would go into bag lunches are weaker than the rest of retail items. Pizza cheese and process cheese for fast food burgers are stronger than the rest of food service items. Cheese inventories are balanced to long. 


WESTERN WHOLESALE PRICE ADJUSTMENTS
In the West, wholesale prices are up $.0775 for process, but down $.0150 for cheddar block, cuts and Monterey Jack. Swiss cut wholesale prices are unchanged from the previous week.","COLD STORAGE – CHEESE SUMMARY 
Released December 22, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA).

                                                                 11/30/20
                 Stocks in all Warehouses (1,000 pounds)     as a percent of
Natural Cheese           11/30/19      10/31/20     11/30/20   11/30/19   10/31/20
Total natural cheese    1,322,482     1,341,428    1,344,821     102        100
                         
American, total           740,367       756,168      760,173     103        101
New England                70,485        69,404       69,527      99        100
Middle Atlantic            78,800        66,040       67,282      85        102
East North Central        313,077       309,447      308,595      99        100
West North Central        105,292       128,530      127,557     121         99
South Atlantic                184            90           87      47         97
East South Central          9,510         7,667        6,641      70         87
West South Central          2,978         6,298        5,986     201         95
Mountain                   49,291        50,222       52,069     106        104
Pacific                   110,750       118,470      122,429     111        103
                         
Swiss, total               24,540        20,149       20,148      82        100
                         
Other, total              557,575       565,111      564,500     101        100
New England                 1,074         1,019        1,208     112        119
Middle Atlantic            16,078        24,398       23,172     144         95
East North Central        350,077       349,904      346,657      99         99
West North Central         50,574        48,074       53,358     106        111
South Atlantic             39,278        32,555       29,666      76         91
East South Central         35,658        32,146       34,376      96        107
West South Central          2,581         7,364        6,457     250         88
Mountain                    3,189         3,683        3,686     116        100
Pacific                    59,066        65,968       65,920     112        100","Information for the period December 28, 2020 -  January 1, 2021, issued weekly"
"Monterey Jack","Hard Products",12/28/2020,12/28/2020,"12/30/2020 10:00:00",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1085,MD_DA840,"Cheese - Western U.S.",Final,Dairy,West,Wholesale,Domestic,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"10 pounds","Mixed Lots (1000-5000 pounds)",1.94,2.215,,,N/A,"Ample milk flows are keeping Western cheese facilities busy. Most western cheese makers are running their cheese plants at capacity. Customers are taking regular shipments but predicting demand has been a moving target throughout the year. Purchase tendencies are somewhat erratic. Retail demand is steady and strong and food service demand has been weak. But there are exceptions to that rule. Sales of snack items that would go into bag lunches are weaker than the rest of retail items. Pizza cheese and process cheese for fast food burgers are stronger than the rest of food service items. Cheese inventories are balanced to long. 


WESTERN WHOLESALE PRICE ADJUSTMENTS
In the West, wholesale prices are up $.0775 for process, but down $.0150 for cheddar block, cuts and Monterey Jack. Swiss cut wholesale prices are unchanged from the previous week.","COLD STORAGE – CHEESE SUMMARY 
Released December 22, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA).

                                                                 11/30/20
                 Stocks in all Warehouses (1,000 pounds)     as a percent of
Natural Cheese           11/30/19      10/31/20     11/30/20   11/30/19   10/31/20
Total natural cheese    1,322,482     1,341,428    1,344,821     102        100
                         
American, total           740,367       756,168      760,173     103        101
New England                70,485        69,404       69,527      99        100
Middle Atlantic            78,800        66,040       67,282      85        102
East North Central        313,077       309,447      308,595      99        100
West North Central        105,292       128,530      127,557     121         99
South Atlantic                184            90           87      47         97
East South Central          9,510         7,667        6,641      70         87
West South Central          2,978         6,298        5,986     201         95
Mountain                   49,291        50,222       52,069     106        104
Pacific                   110,750       118,470      122,429     111        103
                         
Swiss, total               24,540        20,149       20,148      82        100
                         
Other, total              557,575       565,111      564,500     101        100
New England                 1,074         1,019        1,208     112        119
Middle Atlantic            16,078        24,398       23,172     144         95
East North Central        350,077       349,904      346,657      99         99
West North Central         50,574        48,074       53,358     106        111
South Atlantic             39,278        32,555       29,666      76         91
East South Central         35,658        32,146       34,376      96        107
West South Central          2,581         7,364        6,457     250         88
Mountain                    3,189         3,683        3,686     116        100
Pacific                    59,066        65,968       65,920     112        100","Information for the period December 28, 2020 -  January 1, 2021, issued weekly"
"Process American","Hard Products",12/28/2020,12/28/2020,"12/30/2020 10:00:00",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1085,MD_DA840,"Cheese - Western U.S.",Final,Dairy,West,Wholesale,Domestic,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"5 pound Loaf","Mixed Lots (1000-5000 pounds)",1.6325,1.8875,,,N/A,"Ample milk flows are keeping Western cheese facilities busy. Most western cheese makers are running their cheese plants at capacity. Customers are taking regular shipments but predicting demand has been a moving target throughout the year. Purchase tendencies are somewhat erratic. Retail demand is steady and strong and food service demand has been weak. But there are exceptions to that rule. Sales of snack items that would go into bag lunches are weaker than the rest of retail items. Pizza cheese and process cheese for fast food burgers are stronger than the rest of food service items. Cheese inventories are balanced to long. 


WESTERN WHOLESALE PRICE ADJUSTMENTS
In the West, wholesale prices are up $.0775 for process, but down $.0150 for cheddar block, cuts and Monterey Jack. Swiss cut wholesale prices are unchanged from the previous week.","COLD STORAGE – CHEESE SUMMARY 
Released December 22, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA).

                                                                 11/30/20
                 Stocks in all Warehouses (1,000 pounds)     as a percent of
Natural Cheese           11/30/19      10/31/20     11/30/20   11/30/19   10/31/20
Total natural cheese    1,322,482     1,341,428    1,344,821     102        100
                         
American, total           740,367       756,168      760,173     103        101
New England                70,485        69,404       69,527      99        100
Middle Atlantic            78,800        66,040       67,282      85        102
East North Central        313,077       309,447      308,595      99        100
West North Central        105,292       128,530      127,557     121         99
South Atlantic                184            90           87      47         97
East South Central          9,510         7,667        6,641      70         87
West South Central          2,978         6,298        5,986     201         95
Mountain                   49,291        50,222       52,069     106        104
Pacific                   110,750       118,470      122,429     111        103
                         
Swiss, total               24,540        20,149       20,148      82        100
                         
Other, total              557,575       565,111      564,500     101        100
New England                 1,074         1,019        1,208     112        119
Middle Atlantic            16,078        24,398       23,172     144         95
East North Central        350,077       349,904      346,657      99         99
West North Central         50,574        48,074       53,358     106        111
South Atlantic             39,278        32,555       29,666      76         91
East South Central         35,658        32,146       34,376      96        107
West South Central          2,581         7,364        6,457     250         88
Mountain                    3,189         3,683        3,686     116        100
Pacific                    59,066        65,968       65,920     112        100","Information for the period December 28, 2020 -  January 1, 2021, issued weekly"
Swiss,"Hard Products",12/28/2020,12/28/2020,"12/30/2020 10:00:00",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1085,MD_DA840,"Cheese - Western U.S.",Final,Dairy,West,Wholesale,Domestic,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"6-9 pound Cuts","Mixed Lots (1000-5000 pounds)",3.105,3.535,,,N/A,"Ample milk flows are keeping Western cheese facilities busy. Most western cheese makers are running their cheese plants at capacity. Customers are taking regular shipments but predicting demand has been a moving target throughout the year. Purchase tendencies are somewhat erratic. Retail demand is steady and strong and food service demand has been weak. But there are exceptions to that rule. Sales of snack items that would go into bag lunches are weaker than the rest of retail items. Pizza cheese and process cheese for fast food burgers are stronger than the rest of food service items. Cheese inventories are balanced to long. 


WESTERN WHOLESALE PRICE ADJUSTMENTS
In the West, wholesale prices are up $.0775 for process, but down $.0150 for cheddar block, cuts and Monterey Jack. Swiss cut wholesale prices are unchanged from the previous week.","COLD STORAGE – CHEESE SUMMARY 
Released December 22, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA).

                                                                 11/30/20
                 Stocks in all Warehouses (1,000 pounds)     as a percent of
Natural Cheese           11/30/19      10/31/20     11/30/20   11/30/19   10/31/20
Total natural cheese    1,322,482     1,341,428    1,344,821     102        100
                         
American, total           740,367       756,168      760,173     103        101
New England                70,485        69,404       69,527      99        100
Middle Atlantic            78,800        66,040       67,282      85        102
East North Central        313,077       309,447      308,595      99        100
West North Central        105,292       128,530      127,557     121         99
South Atlantic                184            90           87      47         97
East South Central          9,510         7,667        6,641      70         87
West South Central          2,978         6,298        5,986     201         95
Mountain                   49,291        50,222       52,069     106        104
Pacific                   110,750       118,470      122,429     111        103
                         
Swiss, total               24,540        20,149       20,148      82        100
                         
Other, total              557,575       565,111      564,500     101        100
New England                 1,074         1,019        1,208     112        119
Middle Atlantic            16,078        24,398       23,172     144         95
East North Central        350,077       349,904      346,657      99         99
West North Central         50,574        48,074       53,358     106        111
South Atlantic             39,278        32,555       29,666      76         91
East South Central         35,658        32,146       34,376      96        107
West South Central          2,581         7,364        6,457     250         88
Mountain                    3,189         3,683        3,686     116        100
Pacific                    59,066        65,968       65,920     112        100","Information for the period December 28, 2020 -  January 1, 2021, issued weekly"
Cheddar,"Hard Products",12/21/2020,12/21/2020,"12/22/2020 10:00:03",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1085,MD_DA840,"Cheese - Western U.S.",Final,Dairy,West,Wholesale,Domestic,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"10 pound Cuts","Mixed Lots (1000-5000 pounds)",1.9675,2.1675,,,N/A,"Western cheese makers say they are running their facilities at capacity. Milk collections are adequate to meet processing needs, and there are some discounted loads of milk floating around the region. Industry contacts are studying the lessons learned from the 2020 cheese markets. Some customers are taking regular shipments, but also reflecting on how buying patterns may have changed. In general, retail demand is stable and stronger than previous years. However, snack cheese items are not selling as well. For food service, cheese demand for institutional and sit-down dining is still weak, but pizza, fast food and other take-out options have helped move cheese. Manufacturers and end users are watching their inventories closely. Some contacts expect cheese stocks to grow in the near term as market participants sort out strategies for the coming year.


WESTERN WHOLESALE PRICE ADJUSTMENTS
In the West, wholesale prices are up $.0300 for process, and up $.0125 for cheddar block, cuts and Monterey Jack. Swiss cut wholesale prices are unchanged from the previous week.",N/A,"Information for the period December 21 - 25, 2020, issued weekly"
Cheddar,"Hard Products",12/21/2020,12/21/2020,"12/22/2020 10:00:03",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1085,MD_DA840,"Cheese - Western U.S.",Final,Dairy,West,Wholesale,Domestic,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"40 pound Block","Mixed Lots (1000-5000 pounds)",1.72,2.21,,,N/A,"Western cheese makers say they are running their facilities at capacity. Milk collections are adequate to meet processing needs, and there are some discounted loads of milk floating around the region. Industry contacts are studying the lessons learned from the 2020 cheese markets. Some customers are taking regular shipments, but also reflecting on how buying patterns may have changed. In general, retail demand is stable and stronger than previous years. However, snack cheese items are not selling as well. For food service, cheese demand for institutional and sit-down dining is still weak, but pizza, fast food and other take-out options have helped move cheese. Manufacturers and end users are watching their inventories closely. Some contacts expect cheese stocks to grow in the near term as market participants sort out strategies for the coming year.


WESTERN WHOLESALE PRICE ADJUSTMENTS
In the West, wholesale prices are up $.0300 for process, and up $.0125 for cheddar block, cuts and Monterey Jack. Swiss cut wholesale prices are unchanged from the previous week.",N/A,"Information for the period December 21 - 25, 2020, issued weekly"
"Monterey Jack","Hard Products",12/21/2020,12/21/2020,"12/22/2020 10:00:03",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1085,MD_DA840,"Cheese - Western U.S.",Final,Dairy,West,Wholesale,Domestic,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"10 pounds","Mixed Lots (1000-5000 pounds)",1.955,2.23,,,N/A,"Western cheese makers say they are running their facilities at capacity. Milk collections are adequate to meet processing needs, and there are some discounted loads of milk floating around the region. Industry contacts are studying the lessons learned from the 2020 cheese markets. Some customers are taking regular shipments, but also reflecting on how buying patterns may have changed. In general, retail demand is stable and stronger than previous years. However, snack cheese items are not selling as well. For food service, cheese demand for institutional and sit-down dining is still weak, but pizza, fast food and other take-out options have helped move cheese. Manufacturers and end users are watching their inventories closely. Some contacts expect cheese stocks to grow in the near term as market participants sort out strategies for the coming year.


WESTERN WHOLESALE PRICE ADJUSTMENTS
In the West, wholesale prices are up $.0300 for process, and up $.0125 for cheddar block, cuts and Monterey Jack. Swiss cut wholesale prices are unchanged from the previous week.",N/A,"Information for the period December 21 - 25, 2020, issued weekly"
"Process American","Hard Products",12/21/2020,12/21/2020,"12/22/2020 10:00:03",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1085,MD_DA840,"Cheese - Western U.S.",Final,Dairy,West,Wholesale,Domestic,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"5 pound Loaf","Mixed Lots (1000-5000 pounds)",1.555,1.81,,,N/A,"Western cheese makers say they are running their facilities at capacity. Milk collections are adequate to meet processing needs, and there are some discounted loads of milk floating around the region. Industry contacts are studying the lessons learned from the 2020 cheese markets. Some customers are taking regular shipments, but also reflecting on how buying patterns may have changed. In general, retail demand is stable and stronger than previous years. However, snack cheese items are not selling as well. For food service, cheese demand for institutional and sit-down dining is still weak, but pizza, fast food and other take-out options have helped move cheese. Manufacturers and end users are watching their inventories closely. Some contacts expect cheese stocks to grow in the near term as market participants sort out strategies for the coming year.


WESTERN WHOLESALE PRICE ADJUSTMENTS
In the West, wholesale prices are up $.0300 for process, and up $.0125 for cheddar block, cuts and Monterey Jack. Swiss cut wholesale prices are unchanged from the previous week.",N/A,"Information for the period December 21 - 25, 2020, issued weekly"
Swiss,"Hard Products",12/21/2020,12/21/2020,"12/22/2020 10:00:03",N/A,N/A,N/A,Cheese,"Point of Sale - Dairy","Dairy Market",1085,MD_DA840,"Cheese - Western U.S.",Final,Dairy,West,Wholesale,Domestic,Delivered,N/A,N/A,N/A,"Dollars per Pound",,N/A,NA,"6-9 pound Cuts","Mixed Lots (1000-5000 pounds)",3.105,3.535,,,N/A,"Western cheese makers say they are running their facilities at capacity. Milk collections are adequate to meet processing needs, and there are some discounted loads of milk floating around the region. Industry contacts are studying the lessons learned from the 2020 cheese markets. Some customers are taking regular shipments, but also reflecting on how buying patterns may have changed. In general, retail demand is stable and stronger than previous years. However, snack cheese items are not selling as well. For food service, cheese demand for institutional and sit-down dining is still weak, but pizza, fast food and other take-out options have helped move cheese. Manufacturers and end users are watching their inventories closely. Some contacts expect cheese stocks to grow in the near term as market participants sort out strategies for the coming year.


WESTERN WHOLESALE PRICE ADJUSTMENTS
In the West, wholesale prices are up $.0300 for process, and up $.0125 for cheddar block, cuts and Monterey Jack. Swiss cut wholesale prices are unchanged from the previous week.",N/A,"Information for the period December 21 - 25, 2020, issued weekly"
