"office name","office code","office city","office state","report begin date","report end date","published date","market location name","market location city","market location state",commodity,"market type","market type category","slug id","slug name","report title","final ind",community,category,quality,"holdings Unit","holdings current lbs","holdings 1stDayMTH lbs","holdings change lbs","holdings change percent","currentMTH 1stDay","report narrative","commodity narrative","special announcement"
Madison,DA-MD,Madison,WI,11/07/2022,11/11/2022,"11/09/2022 11:55:01","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,79985000,81284000,-1299000,-2,11/01/2022,,,
Madison,DA-MD,Madison,WI,11/07/2022,11/11/2022,"11/09/2022 11:55:01","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,31704000,40818000,-9114000,-22,11/01/2022,,,
Madison,DA-MD,Madison,WI,10/31/2022,11/04/2022,"11/02/2022 11:55:01","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,81609000,77418000,4191000,5,10/01/2022,,,
Madison,DA-MD,Madison,WI,10/31/2022,11/04/2022,"11/02/2022 11:55:01","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,43097000,43035000,62000,0,10/01/2022,,,
Madison,DA-MD,Madison,WI,10/24/2022,10/28/2022,"10/26/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,80986000,77418000,3568000,5,10/01/2022,,,
Madison,DA-MD,Madison,WI,10/24/2022,10/28/2022,"10/26/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,43284000,43035000,249000,1,10/01/2022,,,
Madison,DA-MD,Madison,WI,10/17/2022,10/21/2022,"10/19/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,80264000,77418000,2846000,4,10/01/2022,,,
Madison,DA-MD,Madison,WI,10/17/2022,10/21/2022,"10/19/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,44669000,43035000,1634000,4,10/01/2022,,,
Madison,DA-MD,Madison,WI,10/10/2022,10/14/2022,"10/12/2022 11:55:01","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,81381000,77418000,3963000,5,10/01/2022,,,
Madison,DA-MD,Madison,WI,10/10/2022,10/14/2022,"10/12/2022 11:55:01","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,44468000,43035000,1433000,3,10/01/2022,,,
Madison,DA-MD,Madison,WI,10/03/2022,10/07/2022,"10/05/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,77418000,77418000,0,0,10/01/2022,,,
Madison,DA-MD,Madison,WI,10/03/2022,10/07/2022,"10/05/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,43035000,43035000,0,0,10/01/2022,,,
Madison,DA-MD,Madison,WI,09/26/2022,09/30/2022,"09/28/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,77025000,78110000,-1085000,-1,09/01/2022,,,
Madison,DA-MD,Madison,WI,09/26/2022,09/30/2022,"09/28/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,45159000,51556000,-6397000,-12,09/01/2022,,,
Madison,DA-MD,Madison,WI,09/19/2022,09/23/2022,"09/21/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,75029000,78110000,-3081000,-4,09/01/2022,,,
Madison,DA-MD,Madison,WI,09/19/2022,09/23/2022,"09/21/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,44997000,51556000,-6559000,-13,09/01/2022,,,
Madison,DA-MD,Madison,WI,09/12/2022,09/16/2022,"09/14/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,77021000,78110000,-1089000,-1,09/01/2022,,,
Madison,DA-MD,Madison,WI,09/12/2022,09/16/2022,"09/14/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,46924000,51556000,-4632000,-9,09/01/2022,,,
Madison,DA-MD,Madison,WI,09/05/2022,09/09/2022,"09/07/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,78073000,78110000,-37000,0,09/01/2022,,,
Madison,DA-MD,Madison,WI,09/05/2022,09/09/2022,"09/07/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,50889000,51556000,-667000,-1,09/01/2022,,,
Madison,DA-MD,Madison,WI,08/29/2022,09/02/2022,"08/31/2022 13:07:11","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,78168000,79430000,-1262000,-2,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/29/2022,09/02/2022,"08/31/2022 13:07:11","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,52559000,56430000,-3871000,-7,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/22/2022,08/26/2022,"08/24/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,78226000,79430000,-1204000,-2,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/22/2022,08/26/2022,"08/24/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,55350000,56430000,-1080000,-2,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/15/2022,08/19/2022,"08/17/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,79767000,79430000,337000,0,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/15/2022,08/19/2022,"08/17/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,39734000,56430000,-16696000,-30,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/08/2022,08/12/2022,"08/10/2022 11:55:01","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,79728000,79430000,298000,0,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/08/2022,08/12/2022,"08/10/2022 11:55:01","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,55646000,56430000,-784000,-1,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/01/2022,08/05/2022,"08/03/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,79431000,79430000,1000,0,08/01/2022,,,
Madison,DA-MD,Madison,WI,08/01/2022,08/05/2022,"08/03/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,56430000,56430000,0,0,08/01/2022,,,
Madison,DA-MD,Madison,WI,07/25/2022,07/29/2022,"07/27/2022 11:55:02","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,82187000,86183000,-3996000,-5,07/01/2022,,,
Madison,DA-MD,Madison,WI,07/25/2022,07/29/2022,"07/27/2022 11:55:02","National Cold Storage",,WI,Butter,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Soft Product",N/A,LBS,58902000,62342000,-3440000,-6,07/01/2022,,,
Madison,DA-MD,Madison,WI,07/18/2022,07/22/2022,"07/20/2022 11:55:04","National Cold Storage",,WI,Cheese,"Cold Storage","Dairy Market",1095,MD_DA953,"Weekly Cold Storage Holding - U.S.",Final,Dairy,"Hard Products",N/A,LBS,83893000,86183000,-2290000,-3,07/01/2022,,,
